data,model,seed,epochs,trials,accuracy,precision,recall,f1,auc,prc,LR00,LR01,LR10,LR11,time,lr_max,batch_size,alpha,gamma
data_2real3newerbigdet,InceptionTime,0,1,10,0.9965,0.9664292980671414,0.9625126646403243,0.9644670050761421,0.9803885050440879,0.9320504388690825,18980,33,37,950,57.56280912272632,0.001,64,0.5,3
data_2real3newerbigdet,InceptionTime,1,1,10,0.99675,0.9694501018329938,0.9645390070921985,0.9669883189436261,0.9814805696587591,0.9368224386474266,18983,30,35,952,59.35583651578054,0.001,64,0.5,3
data_2real3newerbigdet,InceptionTime,2,1,10,0.99765,0.9709418837675351,0.9817629179331308,0.9763224181360202,0.9901188228754697,0.954134736951106,18984,29,18,969,55.70252937916666,0.001,64,0.5,3
