data,model,seed,epochs,trials,accuracy,precision,recall,f1,auc,prc,LR00,LR01,LR10,LR11,time,batch_size,alpha,gamma,batch_size,ESPatience,alpha,gamma,nf,fc_dropout,conv_dropout,ks,dilation
data_2real1bigdet,InceptionTime,0,1,20,0.99995,0.9991708126036484,1.0,0.9995852343425965,0.999973397180101,0.9991708126036484,18794,1,0,1205,51.17737655900419,64,0.12558531046383625,1.8368990837713652,64,6,0.12558531046383625,1.8368990837713652,128,0.6491440476147607,0.2784872826479753,20,1
data_2real1bigdet,InceptionTime,1,1,20,1.0,1.0,1.0,1.0,1.0,1.0,18795,0,0,1205,51.129025449045,64,0.12558531046383625,1.8368990837713652,64,6,0.12558531046383625,1.8368990837713652,128,0.6491440476147607,0.2784872826479753,20,1
data_2real1bigdet,InceptionTime,2,1,20,1.0,1.0,1.0,1.0,1.0,1.0,18795,0,0,1205,51.23633421398699,64,0.12558531046383625,1.8368990837713652,64,6,0.12558531046383625,1.8368990837713652,128,0.6491440476147607,0.2784872826479753,20,1
