"","data_name","model_name","stoc","hype","imp","randnum_train","randnum_split","randnum_stoc","epochs","trials","folds","train_time","hype_time","inf_time","date","best_threshold","best_f1_score","accuracy_nothres_nocal","precision_nothres_nocal","recall_nothres_nocal","f1_nothres_nocal","auc_nothres_nocal","av_prec_nothres_nocal","brier_nothres_nocal","pr_auc_nothres_nocal","true_neg_nothres_nocal","false_pos_nothres_nocal","false_neg_nothres_nocal","true_pos_nothres_nocal","accuracy_nothres_cal","precision_nothres_cal","recall_nothres_cal","f1_nothres_cal","auc_nothres_cal","av_prec_nothres_cal","brier_nothres_cal","pr_auc_nothres_cal","true_neg_nothres_cal","false_pos_nothres_cal","false_neg_nothres_cal","true_pos_nothres_cal","accuracy","precision","recall","f1","auc","av_prec","brier","pr_auc","true_neg","false_pos","false_neg","true_pos","lr_max","batch_size","ESPatience","weight_decay","alpha","gamma","nf","fc_dropout","conv_dropout","ks","kss","conv_layers","hidden_size","rnn_layers","cell_dropout","rnn_dropout","max_depth","eta","subsample","colsample_bytree","n_estimators","min_child_weight","reg_alpha","reg_lambda","n_heads","d_ff","encoder_layers","encoder_dropout","prop","C","max_delta_step","accuracy_out","precision_out","recall_out","f1_out","auc_out","av_prec_out","brier_out","pr_auc_out","true_neg_out","false_pos_out","false_neg_out","true_pos_out","selection"
"1","critical_1","InceptionTime",0.1,"True","False",7,3,4,50,200,2,259.341459671967,99243.6828835038,15.1224057246,2024-10-14 11:47:07,1,1,0.99765,0.9265625,1,0.961881589618816,1,1,0.163859910757622,1,19360,47,0,593,0.99765,0.9265625,1,0.961881589618816,1,1,0.00491508222658428,1,19360,47,0,593,1,1,1,1,1,1,0.00491508222658428,1,19407,0,0,593,0.0557959050590868,64,10,0.00542234604364122,0.143194774093802,1.25629319653136,128,0.361855771193923,0.0860710969291757,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,NA,NA,1,1,1,1,1,1,0.00491508222658428,1,19407,0,0,593,"thres_cal"
"2","critical_1","InceptionTime",0.1,"True","False",9,3,4,50,200,2,336.527426823042,58351.631723001,13.3225785449613,2024-10-30 09:10:18,0.9683119,0.998310810810811,0.9975,0.923556942277691,0.998313659359191,0.959481361426256,0.999987313560388,0.99965240783836,0.079766323332926,0.999652161301145,19358,49,1,592,0.9975,0.923556942277691,0.998313659359191,0.959481361426256,0.999987226666966,0.999649711675379,0.00178091895450889,0.999649462981047,19358,49,1,592,0.9999,1,0.996627318718381,0.998310810810811,0.999987226666966,0.999649711675379,0.00178091895450889,0.999649462981047,19407,0,2,591,0.0004094191364341,64,10,0.0012123975860662,0.246739670763202,1.86401394085066,128,0.0823894019213618,0.298887091921143,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,NA,NA,0.9999,1,0.996627318718381,0.998310810810811,0.999987226666966,0.999649711675379,0.00178091895450889,0.999649462981047,19407,0,2,591,"thres_cal"
"3","critical_1","InceptionTime",0.1,"True","False",8,3,4,50,200,2,1066.93941523903,72764.8039005919,48.4997332800413,2024-10-31 12:41:04,0.97782373,0.99915611814346,0.9992,0.973727422003284,1,0.986688851913478,0.99999956553289,0.999985900161866,0.0871711976284994,0.999985888352956,19391,16,0,593,0.9992,0.973727422003284,1,0.986688851913478,0.99999956553289,0.999985900161866,0.000891265466862219,0.999985888352956,19391,16,0,593,0.99995,1,0.998313659359191,0.99915611814346,0.99999956553289,0.999985900161866,0.000891265466862219,0.999985888352956,19407,0,1,592,0.0004094191364341,64,10,0.0012123975860662,0.246739670763202,1.86401394085066,128,0.0823894019213618,0.298887091921143,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,NA,NA,0.99995,1,0.998313659359191,0.99915611814346,0.99999956553289,0.999985900161866,0.000891265466862219,0.999985888352956,19407,0,1,592,"thres_cal"
"4","critical_1","LR",0.1,"True","False",7,3,4,50,40,2,3.43396392092109,50.2855471586809,1.30236978828907,2024-10-18 13:22:58,0.363350063562393,1,0.9999,0.996638655462185,1,0.998316498316498,1,1,0.00927720783322199,1,19405,2,0,593,0.9999,1,0.996627318718381,0.998310810810811,1,1,0.000719958711721046,1,19407,0,2,591,1,1,1,1,1,1,0.000719958711721046,1,19407,0,0,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,10,NA,1,1,1,1,1,1,0.000719958711721046,1,19407,0,0,593,"thres_cal"
"5","critical_1","LR",0.1,"True","False",8,3,4,50,40,2,4.46683428902179,55.4012913051993,1.37327895499766,2024-10-22 11:54:14,0.362815707921982,1,0.9999,0.996638655462185,1,0.998316498316498,1,1,0.00927061689518665,1,19405,2,0,593,0.9999,1,0.996627318718381,0.998310810810811,1,1,0.00072049347723559,1,19407,0,2,591,1,1,1,1,1,1,0.00072049347723559,1,19407,0,0,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,10,NA,1,1,1,1,1,1,0.00072049347723559,1,19407,0,0,593,"thres_cal"
"6","critical_1","LR",0.1,"True","False",9,3,4,50,40,2,2.09520006645471,36.8575950339437,1.06537724845111,2024-10-23 18:52:08,0.363362789154053,1,0.9999,0.996638655462185,1,0.998316498316498,1,1,0.00926683761102614,1,19405,2,0,593,0.9999,1,0.996627318718381,0.998310810810811,1,1,0.000719853318490032,1,19407,0,2,591,1,1,1,1,1,1,0.000719853318490032,1,19407,0,0,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,10,NA,1,1,1,1,1,1,0.000719853318490032,1,19407,0,0,593,"thres_cal"
"7","critical_1","LSTMAttention",0.1,"True","False",7,3,4,50,200,2,280.501435738988,72696.8792625973,22.2750840950757,2024-10-14 11:47:16,0.9991903,1,1,1,1,1,1,1,0.0825053398219857,1,19407,0,0,593,1,1,1,1,1,1,0.000134442443081536,1,19407,0,0,593,1,1,1,1,1,1,0.000134442443081536,1,19407,0,0,593,0.000160546935943324,64,5,0.0039199455039105,0.241066511129012,2.21012237814699,NA,0.119040496818745,NA,NA,NA,NA,256,1,NA,0.370760408533134,NA,NA,NA,NA,NA,NA,NA,NA,8,2048,4,0.289649099317907,0.02965,NA,NA,1,1,1,1,1,1,0.000134442443081536,1,19407,0,0,593,"thres_cal"
"8","critical_1","LSTMAttention",0.1,"True","False",9,3,4,50,200,2,38.6208931399742,29212.373269327,2.98808306903811,2024-10-29 13:02:07,0.704456,1,1,1,1,1,1,1,0.0668180882766626,1,19407,0,0,593,1,1,1,1,1,1,0.0312551410108635,1,19407,0,0,593,1,1,1,1,1,1,0.0312551410108635,1,19407,0,0,593,0.0023402917044414,256,10,0.00430230496195094,0.31868706052716,2.71820688335696,NA,0.0236517917011384,NA,NA,NA,NA,64,1,NA,0.365388331807076,NA,NA,NA,NA,NA,NA,NA,NA,12,256,2,0.314465666640903,0.02965,NA,NA,1,1,1,1,1,1,0.0312551410108635,1,19407,0,0,593,"thres_cal"
"9","critical_1","LSTMAttention",0.1,"True","False",8,3,4,50,200,2,43.228840547963,46256.649194314,10.6568596850848,2024-10-30 09:09:28,0.91922104,1,1,1,1,1,1,1,0.0649021464321741,1,19407,0,0,593,1,1,1,1,1,1,4.74978632383923e-05,1,19407,0,0,593,1,1,1,1,1,1,4.74978632383923e-05,1,19407,0,0,593,0.0023402917044414,256,10,0.00430230496195094,0.31868706052716,2.71820688335696,NA,0.0236517917011384,NA,NA,NA,NA,64,1,NA,0.365388331807076,NA,NA,NA,NA,NA,NA,NA,NA,12,256,2,0.314465666640903,0.02965,NA,NA,1,1,1,1,1,1,4.74978632383923e-05,1,19407,0,0,593,"thres_cal"
"10","critical_1","MLSTMFCN",0.1,"True","False",7,3,4,50,200,2,103.187975123525,39913.4284126619,34.7535270331427,2024-10-14 11:47:44,0.85149133,1,1,1,1,1,1,1,0.144136286873596,1,19407,0,0,593,1,1,1,1,1,1,0.122409831847656,1,19407,0,0,593,1,1,1,1,1,1,0.122409831847656,1,19407,0,0,593,0.0466510074257724,128,5,0.00460082203872913,0.239805082228558,2.98927359018842,NA,0.315270099156015,NA,NA,"[7, 5, 3]","[128, 256, 256]",100,2,0.20663273722622,0.590330976622361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,NA,NA,1,1,1,1,1,1,0.122409831847656,1,19407,0,0,593,"thres_cal"
